Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000205095458476214,-8.25897842700143E-05,0.0430919385554682,0,0,0,1.6314377241954,0.00222522953193642,7.90054592450178E-06,-7.75584915815644E-05,0.00221557162937843,5.98460319667918E-06,0.00185133322888546,0,0,0,0,0,0,package://0000-eco65_URDF(2)/meshes/base_link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://0000-eco65_URDF(2)/meshes/base_link.STL,,0000-eco65_URDF(2).stp-1/ECO65-1_ASM.stp-1/ECO65-1-1.stp-1,baselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0309093768130494,-0.00130232011541856,-0.00531213579641623,0,0,0,1.76684172446222,0.00145339217933016,-0.000175780933840043,0.00028019957253137,0.00437717210602588,1.72091374250756E-05,0.00409113214373347,0,0,0,0,0,0,package://0000-eco65_URDF(2)/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://0000-eco65_URDF(2)/meshes/link1.STL,,0000-eco65_URDF(2).stp-1/ECO65-2_ASM.stp-1/ECO65-2-1.stp-1,link1,axis1,joint1,revolute,0,0,0.1625,0,0,0,base_link,0,0,1,100,1,-3.105,3.105,,,,,,,,
link2,0.121146986932408,-1.58478842965382E-07,-0.0707796093527157,0,0,0,3.5404490739212,0.00265453446458718,9.59599329401285E-08,-0.000876830388307764,0.0336721743067911,-1.4119770327876E-08,0.0343886885692875,0,0,0,0,0,0,package://0000-eco65_URDF(2)/meshes/link2.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://0000-eco65_URDF(2)/meshes/link2.STL,,0000-eco65_URDF(2).stp-1/ECO65-3_ASM.stp-1/ECO65-3-1.stp-1,link2,axis2,joint2,revolute,-0.086,0,0,1.5708,-1.5708,0,link1,0,0,-1,100,1,-2.355,3.105,,,,,,,,
link3,0.105891582100513,-4.6854040314237E-08,0.0260074364854135,0,0,0,2.66024465891583,0.00170870967852609,1.78555083726661E-08,-0.00124493134923224,0.0211579641059832,1.26248078229554E-08,0.0213688269651738,0,0,0,0,0,0,package://0000-eco65_URDF(2)/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://0000-eco65_URDF(2)/meshes/link3.STL,,0000-eco65_URDF(2).stp-1/ECO65-4_ASM.stp-1/ECO65-4-1.stp-1,link3,axis3,joint3,revolute,0.26,0,0,0,0,0,link2,0,0,-1,100,1,-2.79,2.79,,,,,,,,
link4,1.21567713538828E-06,-0.009953857169817,0.0135236146022151,0,0,0,0.733002748293818,0.000641257015828996,7.48254836286072E-09,-6.52720978721035E-09,0.000512474130891587,-0.000109077284827363,0.00046031803825444,0,0,0,0,0,0,package://0000-eco65_URDF(2)/meshes/link4.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://0000-eco65_URDF(2)/meshes/link4.STL,,0000-eco65_URDF(2).stp-1/ECO65-5_ASM.stp-1/ECO65-5-1.stp-1,link4,axis4,joint4,revolute,0.24,0,-0.0589,0,0,1.5708,link3,0,0,1,100,1,-2.44,2.44,,,,,,,,
link5,1.11789754923819E-06,0.0036631004053298,-0.0136222895268318,0,0,0,0.911746755408486,0.0007972491059252,-3.05344891287591E-08,-1.66567240622025E-09,0.000572176723282571,-0.000145598665433485,0.000625882795042933,0,0,0,0,0,0,package://0000-eco65_URDF(2)/meshes/link5.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://0000-eco65_URDF(2)/meshes/link5.STL,,0000-eco65_URDF(2).stp-1/ECO65-6_ASM.stp-1/ECO65-6-1.stp-1,link5,axis5,joint5,revolute,0,-0.11,0,1.5708,0,0,link4,0,0,-1,100,1,-3.105,3.105,,,,,,,,
link6,3.31048262667971E-05,6.95510812775968E-06,-0.0237376311302851,0,0,0,0.305602477849543,0.000113828576086565,-3.65320556215084E-08,1.14192955580674E-07,0.000114694733259546,-4.34359001412421E-08,0.000126193153799782,0,0,0,0,0,0,package://0000-eco65_URDF(2)/meshes/link6.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://0000-eco65_URDF(2)/meshes/link6.STL,,6f-1,link6,axis6,joint6,revolute,0,0.0967,0,-1.5708,0,0,link5,0,0,-1,100,1,-3.105,3.105,,,,,,,,
