Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000393079504278541,-8.93111839451283E-05,0.0503510376615127,0,0,0,0.706839178738092,0.00111399241776403,3.32075584491287E-06,-2.55358599411556E-05,0.00111380125808586,1.48323695068303E-06,0.000757933132568793,0,0,0,0,0,0,package://ECO63URDF3/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ECO63URDF3/meshes/base_link.STL,,111-1,baselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.032161295610753,-0.002588042714251,-0.00717151432445642,0,0,0,0.733903737503802,0.000657542359332585,-0.000120290150790236,0.00016574885625406,0.00188382057569215,1.54794593087421E-05,0.00173507425800939,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link1.STL,,222-1,link1,line1,joint1,revolute,0,0,0.1625,0,0,0,base_link,0,0,-1,0,0,-3.1,3.1,,,,,,,,
Link2,6.61389163839066E-07,0.194692032730857,0.0708541380575484,0,0,0,1.9492188748574,0.0406438407492365,1.48869751894086E-07,-1.37566956983659E-08,0.00149699428252157,0.000451221804772672,0.0409971658892306,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link2.STL,,333-1,link2,line2,joint2,revolute,-0.086,-1.9725E-05,0,1.5708,0,0,Link1,0,0,-1,0,0,-2.9,2.7,,,,,,,,
Link3,0.171801728439005,6.35949594068874E-07,0.026710560438851,0,0,0,1.4553217668016,0.000946119810046493,-1.15717849427021E-07,-0.00086229852260616,0.0255744365508099,-2.4259535993155E-08,0.0256464280789206,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link3.STL,,444-1,link3,line3,joint3,revolute,0,0.41,0,3.1416,0,1.5708,Link2,0,0,-1,0,0,2.8,-2.5,,,,,,,,
Link4,6.61847384869629E-07,-0.00987981409582928,0.0134662195370411,0,0,0,0.272608123443843,0.000238350046606502,2.60064903563767E-09,-2.57165330602147E-09,0.000190721553281506,-4.00134938824993E-05,0.000171299255480599,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link4.STL,,555-1,link4,line4,joint4,revolute,0.3800000028614,0,-0.0589,0,0,1.5707963267949,Link3,0,0,1,0,0,-2.4,2.4,,,,,,,,
Link5,-3.03945622587287E-07,9.96596586498449E-05,-0.0147666008372567,0,0,0,0.31148672629582,0.000308851667031191,-5.80244707760913E-09,3.50846035114497E-09,0.000244071230246867,-2.28339663125633E-06,0.000202698394912924,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link5.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link5.STL,,666-1,link5,line5,joint5,revolute,0,-0.109999994512915,0,1.57079632679349,0,0,Link4,0,0,0.999999999999999,0,0,-3.14,3.14,,,,,,,,
Link6,0.000655471262314231,-0.000369618973922181,-0.0152966746518751,0,0,0,0.0807966151177567,2.44486959793955E-05,-1.21422182874429E-06,-1.02226022237666E-07,2.30124008350241E-05,6.5764686847099E-08,3.66103920685913E-05,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link6.STL,,000-1,link6,line6,joint6,revolute,0,0.079521,0,-1.5708,0,0,Link5,0,0,-1,0,0,-6.28,6.28,,,,,,,,
